Game Date,Player Name,Position,Team,Opponent,Period 1 - SOG,Period 2 - SOG,Period 3 - SOG,Total SOG,Period 1 - Blocked,Period 1 - Missed,Period 1 - Failed Shots,Period 2 - Blocked,Period 2 - Missed,Period 2 - Failed Shots,Period 3 - Blocked,Period 3 - Missed,Period 3 - Failed Shots,SUM of Failed Shots,SUM of Shot Attempts,Shot %,Failed Shot %
10/22/2024,Ryan McLeod,C,Buffalo Sabres,Dallas Stars,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,100
10/22/2024,John-Jason Peterka,RW,Buffalo Sabres,Dallas Stars,1,0,0,1,0,1,1,1,0,1,0,1,1,3,4,25,75
10/22/2024,Owen Power,D,Buffalo Sabres,Dallas Stars,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,100,0
10/22/2024,Jack Quinn,RW,Buffalo Sabres,Dallas Stars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/22/2024,Mattias Samuelsson,D,Buffalo Sabres,Dallas Stars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/22/2024,Tage Thompson,C,Buffalo Sabres,Dallas Stars,0,1,2,3,1,0,1,0,0,0,1,0,1,2,5,60,40
10/22/2024,Alex Tuch,RW,Buffalo Sabres,Dallas Stars,0,1,2,3,2,1,3,0,0,0,0,0,0,3,6,50,50
10/22/2024,Jason Zucker,LW,Buffalo Sabres,Dallas Stars,1,1,0,2,0,0,0,1,1,2,0,1,1,3,5,40,60
,,,,,,,,,,,,,,,,,,,,,
10/26/2024,Bowen Byram,D,Buffalo Sabres,Detroit Red Wings,1,1,2,4,0,0,0,0,0,0,0,0,0,0,4,100,0
10/26/2024,Connor Clifton,D,Buffalo Sabres,Detroit Red Wings,0,0,0,0,1,0,1,0,1,1,0,1,1,3,3,0,100
10/26/2024,Dylan Cozens,C,Buffalo Sabres,Detroit Red Wings,2,0,0,2,1,0,1,0,0,0,0,0,0,1,3,66.66666667,33.33333333
10/26/2024,Rasmus Dahlin,D,Buffalo Sabres,Detroit Red Wings,1,0,0,1,0,1,1,2,0,2,0,0,0,3,4,25,75
10/26/2024,Jordan Greenway,LW,Buffalo Sabres,Detroit Red Wings,1,1,0,2,0,0,0,1,0,1,0,0,0,1,3,66.66666667,33.33333333
